24039246	10136686	6260244	1250920	-7394
6008198	2570775	2304743	444413	0
1870111	823826	558415	0	0
11374145	7644397	9004460	0	0
1364554	12310525	9959329	0	0
3207571	8466604	444094	0	204884
1552830	15830813	154879	74181	293035
4818653	17297503	12357219	1666860	249562
14892837	34893187	18492961	3941356	119634
18640046	34429233	14779540	7307044	249122
23676401	56050755	14820410	4012727	282142
13587159	28584554	2395467	696026	155519
17398485	25792554	14424353	3975342	50441
3355013	1604789	5068638	665440	0
4897047	-228600	81020	-56791	-9240
2270829	185426	-26441	-11899	0
1594372	8002824	10474907	-83656	0
4194284	6771721	716129	3921	5144
3140244	6468845	-134978	2707	242244
3416505	9743672	4597098	817836	0
38401525	18875176	15109125	3543319	0
12172563	41771960	15045951	8641518	806598
18696154	26384699	5935795	2353490	20124
16633045	50154079	3810013	2165594	47296
12536192	26113964	5594395	1299733	235748
2460102	5894384	1218315	55668	0
1947374	-201964	177430	1103	0
762873	364436	-85015	15808	30160
845406	10789188	19210960	2699	91706
1634873	6963914	1463769	20095	0
8343300	8632660	339075	47114	439463
8204493	12616084	1780871	676161	147578
16442310	23747915	11272659	3717513	245308
12384896	25004026	470028	979	117002
12691852	12545908	820743	42514	0
13703386	133070850	32690454	9493217	634803
25373504	30927027	14200470	513156	99347
1366887	211622	85848	-75588	0
4441552	-548770	-11964	-23993	15348
5732846	5233578	2909407	10538	180899
6353742	21410173	28331304	39292	1153773
4798680	14784214	5295983	835688	960656
6134917	31287834	8108727	2463931	491064
10329939	21259060	1310135	660191	1041115
15136752	59390246	19551251	4480269	869733
17351563	24581955	9184867	1997205	983905
17378104	64445697	11272465	2215879	538500
16114079	21407213	3924466	844721	179969
22327361	53291208	3952087	423110	68303
16746255	18926607	18292825	1554575	317919
10727639	7025668	2946401	37216	1040894
15065973	18662623	18255565	168906	2227804
9554113	28712255	13174527	1732837	1945869
9701242	49083681	23708557	3031483	784321
17995177	67854151	24355562	8387733	1708386
16496638	37802824	20390014	4274225	1157360
44477699	33547342	16208127	4671487	704324
34844391	41087972	1239659	5993577	803742
94382741	33739030	6907272	4058839	546211
47877650	21486284	17696993	3894818	460962
57040798	32326337	48334734	3535518	93889
13461817	18079498	35062683	1261582	401540
4351492	18499948	16593607	331080	379536
19205148	34987875	32523450	5157123	219948
40145535	59105039	35235783	7909798	858807
49267659	102723121	40382664	10144786	4399035
49777411	69442989	22121719	9126189	6317911
46233160	45129674	11179889	3219757	4197894
53971449	47604041	10632682	5902011	2693143
62455676	70976597	17159178	5712778	1725656
64807286	65715734	7349880	3465893	1322714
48612692	27932636	5879909	2834598	88525
44640990	18414067	4607272	1551195	-41404
10307914	17970567	19052667	1047708	2333235
6834341	36254827	2725960	496641	2818822
13265356	20938648	1262687	710153	3981337
11020814	27843635	1110280	911150	4161096
19327750	65064497	1715234	694046	3941406
10065321	53534366	-447826	1390500	3621581
23588327	141147730	66707307	17172380	3932486
66995360	184399682	75017704	18171703	2364723
74156567	123064338	39050053	13201619	2441105
66471504	88058727	25075802	10033982	1950750
28242519	28349231	27748730	6849137	1471788
27052285	6357761	22578805	5642306	2458511
15447360	15600966	15766875	1832802	2370658
21565076	25768240	8982181	2091868	1681045
30031912	55633379	48616022	7709312	2929020
17774660	61428205	50733228	8168432	5106456
33276884	111105804	38768549	8348473	4783108
52386928	104313218	49941400	15188385	5463824
45475489	97175348	33906913	12755146	3970281
45674655	92218712	27173507	10747227	4520190
39504780	83509910	37619310	10129477	4775317
63189630	73207439	45614622	6750341	2666120
45128768	57298343	39121452	7083186	3639440
23802480	35142762	20233776	7719634	1342909
16299616	61992750	78813890	2690991	2354270
11852347	40471093	30877795	5180786	5106570
30129345	75694146	55481315	6864202	3717041
17817731	59745974	33983476	4756588	5449135
32511907	80870986	31969704	8495894	5550677
37276856	111899287	44816849	11770776	7562682
33440750	94003895	28789032	10433366	4873855
45499702	110831533	39423961	12129411	4884023
44129789	82074525	26885247	12690159	175871
53633503	76058543	63597110	11857120	99774
39465375	49245649	54213900	8899091	256118
14828210	8255940	12140702	5024603	116146
23823252	36713927	51550344	5248528	352353
13624345	32222802	19195029	2905534	206102
32972191	70550935	43450381	3815545	355974
38129379	88752817	46682488	6849774	55663
44103027	85786851	43026305	7655431	311383
36561972	115669602	52688062	14058590	650485
39667781	119228558	40102543	13753131	225732
51365886	124654940	48358339	15960495	379585
58625333	77200784	54983062	13979367	504940
67165505	58764281	54123124	11307923	610587
